id,host_verifications,amex,email,facebook,google,jumio,kba,linkedin,manual_offline,manual_online,phone,reviews,sent_id,weibo,number_of_host_verifications
10035581,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
3303497,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
13018428,"['email', 'phone', 'reviews', 'jumio', 'kba']",0,1,0,0,1,1,0,0,0,1,1,0,0,5
8184007,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
6316145,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
11788394,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,1,0,0,5
13017162,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
1819994,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,1,0,0,5
12870514,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
10036037,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
4040151,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
14885592,"['email', 'phone', 'reviews', 'manual_offline', 'jumio']",0,1,0,0,1,0,0,1,0,1,1,0,0,5
5086521,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
10033715,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
6015021,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
8428314,"['email', 'phone', 'facebook', 'reviews', 'kba']",0,1,1,0,0,1,0,0,0,1,1,0,0,5
9329398,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
11987762,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
6167184,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0,1,1,0,1,0,0,0,0,1,1,0,0,5
4644069,"['email', 'phone', 'reviews', 'manual_offline']",0,1,0,0,0,0,0,1,0,1,1,0,0,4
5659780,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0,1,1,0,1,0,0,0,0,1,1,0,0,5
12246137,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
2186358,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
12672097,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
4479140,"['email', 'phone', 'amex', 'reviews', 'kba']",1,1,0,0,0,1,0,0,0,1,1,0,0,5
7362715,"['email', 'phone', 'reviews', 'jumio', 'kba']",0,1,0,0,1,1,0,0,0,1,1,0,0,5
4069422,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
8099266,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
2872717,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
8460627,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
8400275,"['email', 'phone', 'facebook', 'reviews', 'jumio']",0,1,1,0,1,0,0,0,0,1,1,0,0,5
6955911,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
10048789,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
11474130,"['phone', 'reviews']",0,0,0,0,0,0,0,0,0,1,1,0,0,2
1840255,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
9393163,"['email', 'phone']",0,1,0,0,0,0,0,0,0,1,0,0,0,2
8334845,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
7869368,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
13667826,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
4559774,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
9541295,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
13866603,"['email', 'phone', 'facebook', 'reviews']",0,1,1,0,0,0,0,0,0,1,1,0,0,4
8164953,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
10229333,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
13751871,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
12359181,"['phone', 'facebook']",0,0,1,0,0,0,0,0,0,1,0,0,0,2
9770477,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
7508865,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
8164146,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
7869167,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
12899026,"['email', 'phone', 'reviews', 'jumio', 'kba']",0,1,0,0,1,1,0,0,0,1,1,0,0,5
4547353,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
3740274,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
8081935,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
10228228,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
9180965,"['email', 'phone', 'reviews']",0,1,0,0,0,0,0,0,0,1,1,0,0,3
6444138,"['email', 'phone', 'manual_online', 'reviews', 'manual_offline', 'kba']",0,1,0,0,0,1,0,1,1,1,1,0,0,6
10228764,"['email', 'phone', 'reviews', 'jumio']",0,1,0,0,1,0,0,0,0,1,1,0,0,4
36885,"['email', 'phone', 'facebook', 'reviews']",0,1,1,0,0,0,0,0,0,1,1,0,0,4
14553171,"['email', 'phone', 'reviews', 'kba']",0,1,0,0,0,1,0,0,0,1,1,0,0,4
14799678,"['email', 'phone', 'reviews', 'jumio', 'kba']",0,1,0,0,1,1,0,0,0,1,1,0,0,5
